GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE
Shot Chart Detail,0022100071,10,1630532,Franz Wagner,1610612753,Orlando Magic,1,11,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,28,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,14,1630532,Franz Wagner,1610612753,Orlando Magic,1,10,56,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-39,57,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,41,1630532,Franz Wagner,1610612753,Orlando Magic,1,8,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,12,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,287,1630532,Franz Wagner,1610612753,Orlando Magic,2,1,35,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-4,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,321,1630532,Franz Wagner,1610612753,Orlando Magic,3,11,39,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,29,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,330,1630532,Franz Wagner,1610612753,Orlando Magic,3,10,36,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,48,1,1,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,360,1630532,Franz Wagner,1610612753,Orlando Magic,3,7,50,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,66,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,377,1630532,Franz Wagner,1610612753,Orlando Magic,3,5,58,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,49,53,1,0,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,379,1630532,Franz Wagner,1610612753,Orlando Magic,3,5,58,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,10,1,1,20211029,TOR,ORL,2021-22,R
Shot Chart Detail,0022100071,541,1630532,Franz Wagner,1610612753,Orlando Magic,4,6,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,1,20211029,TOR,ORL,2021-22,R
