video,GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/377/7318ab22-6a0b-1601-38c1-0cdbb65220ef,22100071,377,3,Driving Hook Shot,2,7,0.00013443482502133885,-0.00014540909645165224,0,29.10.2021,TOR,ORL,2021-22,R,05:58
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/379/926ef4c6-3a16-140f-1580-62dd47d2a7e0,22100071,379,3,Fadeaway Jump Shot,2,4,0.00012071698573344713,-2.7435678575783438e-05,1,29.10.2021,TOR,ORL,2021-22,R,05:58
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/541/d68ea875-08da-82f9-a1e7-1d102c0b19f3,22100071,541,4,Driving Layup Shot,2,2,-3.2922814290940124e-05,-5.761492500914522e-05,1,29.10.2021,TOR,ORL,2021-22,R,06:34
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/549/cbe46ec5-c52d-ba76-18f6-c99c57ca396f,22100071,549,4,Pullup Jump shot,2,13,-0.0003566638214851847,-2.4692110718205095e-05,0,29.10.2021,TOR,ORL,2021-22,R,05:06
https://videos.nba.com/nba/pbp/media/2021/10/29/0022100071/634/f8faa526-326a-b69f-c42e-2552922361ea,22100071,634,4,Jump Shot,3,23,0.0006502255822460675,-2.1948542860626752e-05,1,29.10.2021,TOR,ORL,2021-22,R,00:33
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/27/8b4465f7-7185-60e7-1f56-26a5cea996d6,22100079,27,1,Jump Shot,3,26,0.00030179246433361783,-0.0006557127179612242,1,30.10.2021,DET,ORL,2021-22,R,09:35
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/109/52a934a6-73f6-f8c3-747c-20023126c027,22100079,109,1,Driving Hook Shot,2,5,-5.487135715156688e-06,-0.0001371783928789172,1,30.10.2021,DET,ORL,2021-22,R,03:07
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/116/fabf2e6c-73ef-1339-633d-d124b6784b96,22100079,116,1,Jump Shot,3,27,-0.00035940738934276306,-0.000677661260821851,0,30.10.2021,DET,ORL,2021-22,R,02:29
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/127/4ad3326e-7cb1-a95d-f6f5-50814136149b,22100079,127,1,Layup Shot,2,1,-4.3897085721253504e-05,-1.0974271430313376e-05,1,30.10.2021,DET,ORL,2021-22,R,01:30
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/146/d50090cf-dacb-f2d4-a0af-645ca1c50b27,22100079,146,1,Step Back Jump shot,3,23,0.0006392513108157542,-7.407633215461528e-05,0,30.10.2021,DET,ORL,2021-22,R,00:05
